Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerVelocityScore,IncomeGrowthPotential,ExperienceUtilization,CareerCluster,PromotionGapRiskScore,PromotionGapRiskLevel
22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0.0,0.0,1.9999980000020001,0.0,0.9999990000010001,1467.5,0.045454543388429844,0,1,Low
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0.11999999520000018,0.3199999872000005,0.11999999520000018,0.27999998880000043,0.15999999360000025,593.3461538461538,0.5849056493414029,1,4,Medium
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0.33333322222225925,0.6666664444445185,0.9999996666667778,0.6666664444445185,0.33333322222225925,986.0,0.15789473268698073,0,3,Low
24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0.24999993750001562,0.49999987500003124,1.249999687500078,0.7499998125000469,0.49999987500003124,802.2,0.20833332465277812,0,2,Low
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,0.0,0.599999880000024,0.799999840000032,0.599999880000024,0.199999960000008,567.8333333333334,0.2777777700617286,0,3,Low
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0.16666665277777895,0.4999999583333368,0.3333333055555579,0.9166665902777842,0.2499999791666684,922.6153846153846,0.3823529299307962,1,1,Low
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0.0,0.0,6000000.0,0.0,1000000.0,1232.0,0.0,2,1,Low
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,0.24999993750001562,0.49999987500003124,0.49999987500003124,0.7499998125000469,0.24999993750001562,592.0,0.23529411072664383,0,2,Low
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0.2857142653061239,0.9285713622449028,0.21428569897959293,0.5714285306122479,0.3571428316326549,1272.9333333333334,0.4905660284798863,1,4,Medium
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,0.599999940000006,0.19999998000000202,0.499999950000005,0.699999930000007,0.09999999000000101,356.27272727272725,0.3124999902343753,0,4,Medium
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0.44444439506173394,0.7777776913580343,0.22222219753086697,0.22222219753086697,0.22222219753086697,682.5,0.238095232426304,0,6,Medium
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0.2272727169421492,0.27272726033057904,0.18181817355371938,0.7727272376033073,0.13636363016528952,445.5652173913044,0.5454545330578515,1,3,Low
46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0.99999950000025,0.99999950000025,0.99999950000025,0.499999750000125,2.499998750000625,6315.666666666667,0.47826085916824224,1,6,Medium
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0.0,0.9999990000010001,2.9999970000030003,0.0,0.9999990000010001,1248.0,0.21212120569329682,0,4,Medium
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0.24999993750001562,0.49999987500003124,1.249999687500078,0.7499998125000469,0.49999987500003124,1293.0,0.20454544989669432,0,2,Low
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0.09999999000000101,0.0,0.499999950000005,0.7999999200000081,0.09999999000000101,200.54545454545453,0.33333332222222256,0,2,Low
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,0.0,0.0,5.999994000006001,0.0,1.9999980000020001,1043.0,0.4871794746877058,0,1,Low
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0.99999950000025,0.0,0.99999950000025,0.0,0.499999750000125,764.3333333333334,0.24999998958333375,0,4,Medium
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0.199999960000008,0.599999880000024,0.599999880000024,0.799999840000032,0.199999960000008,440.8333333333333,0.13953488047593302,0,3,Low
50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,0.0,0.6666664444445185,0.6666664444445185,0.6666664444445185,0.33333322222225925,670.75,0.05999999880000003,0,2,Low
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0.99999950000025,0.99999950000025,1.499999250000375,0.99999950000025,0.499999750000125,671.3333333333334,0.057142855510204135,0,6,Medium
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0.0,0.9999990000010001,2.9999970000030003,0.0,0.9999990000010001,1709.5,0.16666666203703717,0,4,Medium
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0.199999960000008,0.599999880000024,0.599999880000024,0.599999880000024,0.399999920000016,896.0,0.30303029384756686,0,2,Low
35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0.0,0.0,2.9999970000030003,0.0,0.9999990000010001,975.5,0.028571427755102068,0,1,Low
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0.0,0.0,5.999994000006001,0.0,0.9999990000010001,1170.5,0.037037035665294975,0,1,Low
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,0.0,0.0,1.9999980000020001,0.9999990000010001,0.9999990000010001,1146.5,0.03846153698224858,0,0,Low
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0.11111109876543349,0.8888887901234679,0.0,0.7777776913580343,0.33333329629630043,872.6,0.3333333209876548,1,5,Medium
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0.2499999791666684,0.6666666111111158,0.16666665277777895,0.5833332847222263,0.16666665277777895,308.53846153846155,0.3999999866666671,1,5,Medium
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,0.6818181508264477,0.6818181508264477,0.0,0.36363634710743875,0.2272727169421492,849.7826086956521,0.560975596073766,1,7,High
34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0.8888887901234679,0.5555554938271674,0.22222219753086697,0.7777776913580343,0.22222219753086697,456.8,0.2941176384083048,1,5,Medium
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0.0,0.0,0.9999990000010001,0.0,0.9999990000010001,1511.0,0.21621621037253486,0,1,Low
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0.0,0.6666665925926009,0.44444439506173394,0.8888887901234679,0.22222219753086697,577.2,0.3043478194706996,1,2,Low
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0.0,0.0,1.9999980000020001,0.9999990000010001,0.9999990000010001,1134.5,0.028571427755102068,0,0,Low
48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,0.0,0.0,1.9999980000020001,0.0,2.9999970000030003,2690.5,0.479166656684028,0,1,Low
28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,0.99999950000025,0.99999950000025,1.499999250000375,0.99999950000025,0.499999750000125,1147.0,0.07142856887755111,0,6,Medium
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0.24999993750001562,0.7499998125000469,0.49999987500003124,0.7499998125000469,0.49999987500003124,1090.8,0.20454544989669432,0,4,Medium
35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0.49999987500003124,0.0,0.7499998125000469,0.7499998125000469,0.7499998125000469,1976.8,0.28571427755102063,0,2,Low
26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0.0,0.99999950000025,0.99999950000025,0.0,0.99999950000025,1385.6666666666667,0.1923076849112429,0,4,Medium
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0.5333332977777802,0.9333332711111153,0.06666666222222252,0.7999999466666703,0.19999998666666757,841.125,0.45454544077135034,1,8,High
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0.11111109876543349,0.8888887901234679,0.33333329629630043,0.8888887901234679,0.33333329629630043,906.9,0.2571428497959186,1,3,Low
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0.99999950000025,0.99999950000025,1.499999250000375,0.99999950000025,0.499999750000125,1338.0,0.11428571102040827,0,6,Medium
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0.1428571224489825,0.9999998571428775,0.4285713673469475,0.9999998571428775,0.285714244897965,739.375,0.3225806347554634,1,3,Low
37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0.0,0.7142856122449125,0.285714244897965,0.9999998571428775,0.285714244897965,749.125,0.18918918407596802,0,3,Low
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0.7777776913580343,0.8888887901234679,0.33333329629630043,0.8888887901234679,0.22222219753086697,616.2,0.2812499912109378,1,6,Medium
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0.8999999100000091,0.299999970000003,0.19999998000000202,0.8999999100000091,0.19999998000000202,218.72727272727272,0.26315788781163457,1,5,Medium
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0.48148146364883465,0.11111110699588492,0.07407407133058995,0.2962962853223598,0.18518517832647488,669.2857142857143,0.5799999884000002,1,6,Medium
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0.3333333174603182,0.7619047256235845,0.14285713605442207,0.4285714081632663,0.14285713605442207,347.1363636363636,0.47457626314277523,1,6,Medium
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0.7058823114186875,0.8235293633218022,0.11764705190311459,0.47058820761245834,0.17647057785467188,560.8888888888889,0.4722222091049387,1,8,High
55,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0.0,0.0,0.399999920000016,0.399999920000016,0.799999840000032,2459.3333333333335,0.3818181748760332,0,0,Low
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0.0,0.8333331944444675,0.49999991666668053,0.49999991666668053,0.33333327777778704,928.4285714285714,0.16666666203703717,0,3,Low
45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0.0,0.0,1.9999980000020001,0.0,2.9999970000030003,4862.0,0.5555555432098769,0,1,Low
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0.33333322222225925,0.6666664444445185,0.6666664444445185,0.6666664444445185,0.33333322222225925,548.5,0.14285713877551032,0,3,Low
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.9999990000010001,1694.0,0.05555555401234573,0,3,Low
59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0.24999993750001562,0.7499998125000469,0.49999987500003124,0.7499998125000469,0.49999987500003124,1094.6,0.3389830451019823,0,4,Medium
29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0.0,0.799999840000032,0.599999880000024,0.799999840000032,0.199999960000008,450.5,0.20689654458977433,0,4,Medium
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0.9999990000010001,0.9999990000010001,3.9999960000040002,0.0,0.9999990000010001,1250.5,0.032258063475546335,0,7,High
32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0.0,0.39999996000000404,0.299999970000003,0.8999999100000091,0.19999998000000202,565.4545454545455,0.3124999902343753,0,2,Low
36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0.0,0.0,2.9999970000030003,0.0,0.9999990000010001,1519.0,0.1388888850308643,0,1,Low
31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0.09090908264462885,0.636363578512402,0.1818181652892577,0.7272726611570308,0.1818181652892577,368.6666666666667,0.3548386982310097,1,4,Medium
35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0.13333332444444504,0.8666666088888928,0.13333332444444504,0.5333332977777802,0.13333332444444504,269.5,0.4571428440816331,1,5,Medium
45,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0.0,0.0,3000000.0,0.0,3000000.0,13245.0,0.37777776938271623,2,1,Low
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0.0,0.399999920000016,0.599999880000024,0.399999920000016,0.599999880000024,2277.3333333333335,0.4324324207450697,0,1,Low
46,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0.0,0.49999987500003124,0.49999987500003124,0.49999987500003124,0.49999987500003124,1004.2,0.34782607939508525,0,1,Low
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0.299999970000003,0.7999999200000081,0.09999999000000101,0.0,0.19999998000000202,466.0,0.33333332222222256,0,8,High
35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0.0,0.6666665555555741,0.49999991666668053,0.6666665555555741,0.16666663888889352,408.42857142857144,0.1714285665306124,0,3,Low
55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0.9999990000010001,0.0,3.9999960000040002,0.0,2.9999970000030003,5119.5,0.43636362842975224,0,4,Medium
38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0.07692307100591762,0.8461537810650938,0.23076921301775286,0.6923076390532585,0.15384614201183525,380.64285714285717,0.4473684092797787,1,4,Medium
34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,0.199999960000008,0.399999920000016,0.399999920000016,0.599999880000024,0.399999920000016,720.8333333333334,0.1470588192041524,0,1,Low
56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0.0,0.6666665555555741,0.49999991666668053,0.33333327777778704,0.49999991666668053,1037.142857142857,0.6607142739158166,1,2,Low
23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0.0,0.0,3000000.0,0.0,1000000.0,2322.0,0.1304347769376184,2,1,Low
51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0.0,0.49999987500003124,0.9999997500000625,0.7499998125000469,0.24999993750001562,415.0,0.19607842752787397,0,1,Low
30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,0.9090908264462886,0.9090908264462886,0.2727272479338866,0.7272726611570308,0.1818181652892577,346.0,0.36666665444444485,1,7,High
